Year,AUS,NSW,VIC,QLD,SA,WA,TAS,NT,ACT
2012,22522197,7258722,5591818,4518649,1647183,2385947,511739,232952,372070
2013,23297777,7454938,5832585,4685439,1678052,2502188,513015,242304,386318
2014,23640331,7562171,5957512,4747263,1693107,2528619,514040,242753,391981
2015,23984581,7671401,6093049,4804933,1705937,2547745,515694,244090,398874
2016,24389684,7801785,6244863,4883821,1717400,2563708,519810,246183,407489
2017,24773350,7919815,6387081,4963072,1728494,2582563,524969,246858,415874
2018,25171291,8036665,6528601,5050651,1743594,2606394,531777,245796,423169
